playerId,nameFull,position,collegeId,college,ageAtDraft
19780053,Ron Smith,WR,92115,San Diego State,21.46027397260274
19780054,Dave Browning,DE,98195,Washington,21.717808219178075
19780055,William Gay,DE,90089,USC,22.945205479452056
19780057,Derrick Jensen,RB,76019,Texas-Arlington,22.02739726027397
19780058,Gary Spani,LB,66506,Kansas State,22.326027397260276
19780059,Dennis Johnson,RB,39762,Mississippi State,22.19452054794521
19780060,Barry Bennett,DT,55104,Concordia (MN),22.408219178082188
19780061,Mickey Shuler,TE,16802,Penn State,21.709589041095892
19780063,Bob Jury,DB,15260,Pittsburgh,22.589041095890412
19780064,Lyman Smith,DT,27708,Duke,21.616438356164387
19780069,Doug Greene,DB,78363,Texas A&M-Kingsville,22.23835616438356
19780070,Stan Waldemore,OG,68588,Nebraska,23.21095890410959
19780071,Rickey Anderson,RB,29117,South Carolina State,25.13150684931507
19780072,Ted Vincent,DT,67201,Wichita State,21.73972602739726
19780073,Gifford Nielsen,QB,84602,BYU,23.534246575342465
19780074,Brad Shearer,DT,78712,Texas,22.742465753424653
19780075,Whip Walton,LB,92115,San Diego State,22.810958904109587
19780080,Leon White,C,80309,Colorado,22.98356164383561
19780083,Don Bass,WR,77006,Houston,23.556164383561644
19780085,Danny Johnson,LB,37209,Tennessee State,23.002739726027396
19780089,Lucius Sanford,LB,30332,Georgia Tech,22.227397260273968
19780090,Billy Taylor,RB,79415,Texas Tech,21.835616438356166
19780091,Terry LeCount,WR,32611,Florida,21.827397260273973
19780093,Gerald Small,DB,95192,San Jose State,21.73972602739726
19780094,Bill Fifer,OT,79016,West Texas A&M,22.531506849315072
19780095,Brian Cabral,LB,80309,Colorado,21.871232876712327
19780098,Mike Renfro,WR,76109,Texas Christian,22.884931506849323
19780099,Dennis Law,WR,37614,East Tennessee State,23.093150684931512
19780101,Larry Anderson,DB,71272,Louisiana Tech,21.61369863013699
19780102,Dwight Wheeler,OT,37209,Tennessee State,23.315068493150694
19780106,Eric Laakso,OT,70118,Tulane,21.435616438356163
19780107,Homer Elias,OG,37209,Tennessee State,23.019178082191786
19780109,Larry Tearry,C,27106,Wake Forest,22.035616438356165
19780110,Alois Blackwell,RB,77006,Houston,23.484931506849318
19780111,Ted Burgmeier,DB,46556,Notre Dame,22.495890410958904
19780115,Eric Felton,DB,79415,Texas Tech,22.58082191780822
19780116,Mike Douglass,LB,92115,San Diego State,23.14794520547945
19780119,Louis Bullard,OT,39217,Jackson State (MS),22.002739726027396
19780120,Terry Jackson,DB,92115,San Diego State,22.410958904109588
19780122,Keith Wright,WR,38152,Memphis,22.268493150684925
19780123,Dan Gray,DT,7102,Rutgers,22.271232876712325
19780124,Earl Carr,RB,32611,Florida,23.290410958904108
19780126,Tom Dinkel,LB,66045,Kansas,21.78356164383561
19780127,Archie Reese,DE,29631,Clemson,22.254794520547943
19780132,Jim Krahl,DT,79415,Texas Tech,24.46575342465753
19780133,Bruce Threadgill,DB,39762,Mississippi State,22.0
19780134,Robert Woods,WR,71245,Grambling State (LA),22.846575342465755
19780136,Derrick Ramsey,TE,40506,Kentucky,21.369863013698627
19780137,Brian DeRoo,WR,92373,Redlands,22.03287671232877
19780139,John Skibinski,RB,47906,Purdue,23.03013698630137
