playerId,teamId,draftTradeValue
19800146,200,33.0
19800147,2310,32.6
19800148,3000,32.2
19800149,3430,31.8
19800150,3300,31.4
19800151,4400,31.0
19800152,3430,30.6
19800153,4600,30.2
19800154,2510,29.8
19800155,5110,29.4
19800156,810,29.0
19800157,1400,28.6
19800158,2700,28.2
19800159,920,27.8
19800160,3200,27.4
19800161,3700,27.0
19800162,1200,26.6
19800163,4400,26.2
19800164,2310,25.8
19800165,3900,25.4
19800166,1540,25.0
19800167,920,24.6
19800168,920,24.2
19800169,1800,23.8
19800170,325,23.4
19800171,2510,23.0
19800172,200,22.6
19800173,2520,22.2
19800174,3000,21.8
19800175,4400,21.4
19800176,2510,21.0
19800177,3300,20.6
19800178,3430,20.2
19800179,3410,19.8
19800180,3200,19.4
19800181,3410,19.0
19800182,2100,18.6
19800183,810,18.2
19800184,1400,17.8
19800185,2700,17.4
19800186,4900,17.0
19800187,5110,16.6
19800188,3700,16.2
19800189,1200,15.8
19800190,3430,15.4
19800191,4400,15.0
19800192,2510,14.6
19800193,3900,14.2
19800194,2520,13.8
19800195,325,13.4
19800196,920,13.0
19800197,1400,12.6
19800198,2510,12.2
19800199,1800,11.8
19800200,3410,11.4
19800201,200,11.0
19800202,610,10.6
19800203,2310,10.2
19800204,4600,9.8
19800205,3430,9.4
19800206,3300,9.0
19800207,4600,8.6
19800208,3200,8.2
19800209,1050,7.8
19800210,4500,7.4
19800211,2510,7.0
19800212,2700,6.6
19800213,4900,6.2
19800214,2700,5.8
19800215,810,5.4
19800216,1200,5.0
19800217,2100,4.6
19800218,3700,4.2
19800219,4400,3.8
19800220,2510,3.4
19800221,3900,3.0
19800222,1540,2.6
19800223,1540,2.3
19800224,920,2.0
19800225,2510,1.96
19800226,1800,1.92
19800227,325,1.88
19800228,200,1.84
19800229,3410,1.8
19800230,2310,1.76
19800231,610,1.72
19800232,3000,1.68
19800233,3300,1.64
19800234,3430,1.6
19800235,3200,1.56
19800236,1050,1.52
19800237,4500,1.48
19800238,4600,1.44
19800239,2700,1.4
19800240,4900,1.36
19800241,5110,1.32
19800242,810,1.28
19800243,1400,1.24
19800244,2100,1.2
19800245,3700,1.16
19800246,1200,1.12
19800247,4400,1.08
19800248,2510,1.04
19800249,3900,1.0
19800250,3900,0.96
19800251,1540,0.92
19800252,920,0.88
19800253,1800,0.84
19800254,325,0.8
19800255,2510,0.76
19800256,3410,0.72
19800257,200,0.68
19800258,3000,0.64
19800259,610,0.6
19800260,3430,0.56
19800261,2310,0.52
19800262,3300,0.48
19800263,1050,0.44
19800264,2520,0.4
19800265,4600,0.36
19800266,3200,0.32
19800267,4900,0.28
19800268,5110,0.24
19800269,810,0.2
19800270,1400,0.16
19800271,2700,0.12
19800272,2700,0.08
19800273,1200,0.0
19800274,4600,0.0
19800275,4900,0.0
19800276,2510,0.0
19800277,3900,0.0
19800278,1540,0.0
19800279,2700,0.0
19800280,325,0.0
19800281,920,0.0
19800282,2510,0.0
19800283,1800,0.0
19800284,200,0.0
