playId,teamId,playerId,fumForcedPosition,fumForcedTurnover,fumForcedNull
8036954,3410,20050763,LB,0,0
8036956,3410,20050763,LB,1,0
8037084,3800,20050123,FS,1,0
8037177,610,20030055,LB,0,0
8037187,3430,20070006,S,1,0
8037234,610,20030048,DE,0,1
8037272,610,20120010,CB,0,0
8037280,3430,20060019,CB,0,0
8037335,3430,20120016,DE,1,0
8037350,3430,20060019,CB,0,0
8037508,2120,20110042,OLB,0,0
8037739,3430,20110030,DL,1,0
8037751,3430,20100029,CB,1,0
8037789,2700,20100145,CB,1,0
8037869,3430,20070047,LB,1,0
8037983,3200,20100062,LB,1,0
8037990,3200,20100027,CB,1,0
8038032,3430,20070006,S,1,0
8038035,3200,20060419,S,0,0
8038072,3200,20120224,CB,1,0
8038396,4400,20040098,OLB,1,0
8038454,4500,20070126,S,1,0
8038476,4500,20110007,LB,1,0
8038603,1050,20090104,LB,0,0
8038866,2520,20120617,DL,0,0
8038988,1400,20110002,SLB,1,0
8039349,2250,20090072,DT,1,0
8039411,2520,20100044,DE,1,0
8039459,2310,20100050,CB,0,0
8039542,2310,20070240,LB,1,0
8039637,2520,20030663,CB,0,0
8039788,2520,20090424,DT,1,0
8039840,2520,20080093,LB,0,0
8039860,2520,20080060,CB,1,0
8039873,2520,20080093,LB,0,0
8039901,4400,20120018,OLB,1,0
8040060,2520,20010007,LB,0,0
8040082,4900,20090217,CB,0,0
8040109,4900,20110151,S,0,0
8040291,200,20090055,SS,0,0
8040383,3700,20100244,SS,0,0
8040419,3700,20050146,DE,1,0
8040475,325,20090088,CB,1,0
8040686,750,20110097,DT,1,0
8040701,750,20070083,DE,1,0
8040726,750,20090059,S,1,0
8040740,920,20100054,DE,1,0
8040797,3700,20100013,DE,1,0
8040821,3700,20030700,DT,1,0
8040869,920,20070021,S,1,0
8041003,3700,20090465,DB,0,0
8041077,1200,20070026,LB,1,0
8041288,3700,20070711,OLB,0,0
8041617,3700,20110810,LB,0,0
8041642,3700,20090607,DE,0,0
8041816,5110,20110016,LB,1,0
8041879,3700,20120123,DB,0,0
8041952,325,20030245,CB,1,0
8041981,3900,20020525,FS,0,0
8042101,325,20090057,OLB,1,0
8042381,3900,20110128,DB,1,0
8042384,920,20100120,DT,0,0
8042491,3900,20110128,DB,1,0
8042555,3900,20110128,DB,1,0
8042570,3900,20070015,ILB,1,0
8042577,2200,20090092,CB,0,0
8042785,2310,20050015,LB,1,0
8042791,2310,20110070,LB,0,0
8043085,3900,20020525,FS,1,0
8043099,3900,20070015,ILB,1,0
8043125,3900,20090096,CB,0,0
8043160,3900,20090453,NT,0,0
8043598,200,20100019,OLB,1,0
8043697,200,20090055,SS,1,0
8043857,4400,20070134,OLB,0,0
8043976,750,20100175,DE,0,0
8044009,750,20070083,DE,0,0
8044022,4400,20080027,CB,1,0
8044038,750,20110567,DE,1,0
8044084,920,20100054,DE,0,0
8044160,4400,19980013,ILB,1,0
8044207,920,20100054,DE,1,0
8044210,4400,20110089,CB,0,0
8044364,4400,20110089,CB,1,0
8044380,4400,20110197,OLB,0,0
8044404,4400,20100110,S,1,0
8044486,1400,20040420,FS,0,0
8044489,1400,20060126,DE,1,0
8044550,1400,20060126,DE,1,0
8044572,4400,20040101,OLB,1,0
8044709,4400,20110197,OLB,1,0
8044738,4400,20100079,ILB,1,0
8044781,2310,20110118,DB,1,0
8044818,4400,20030109,OLB,1,0
8044928,4400,20070037,FS,1,1
8044985,4400,20110018,DE,0,1
8045033,2100,20020073,LB,0,0
8045093,2100,20120052,LB,0,0
8045120,2100,20070019,S,0,0
8045201,4600,20030589,DE,1,0
8045236,4600,20110173,CB,1,0
8045265,4600,20110635,SS,1,0
8045318,4600,20060100,FB,1,0
8045409,4600,20050439,CB,0,0
8045618,4600,20100014,FS,0,0
8045645,4600,20030011,CB,1,0
8045849,3200,20120021,DE,1,0
8045916,3200,20080010,LB,1,0
8045994,3430,20070686,DE,1,0
8046002,3430,20110030,DL,1,0
8046013,3430,20090220,CB,0,0
8046088,4600,20110154,CB,1,0
8046139,4600,20120015,DE,1,0
8046155,2520,20060253,DE,0,0
8046167,4600,20110635,SS,0,0
8046291,4600,20100133,SS,0,0
8046354,4600,20050098,LB,1,0
8046554,2510,20080413,LB,0,0
8046696,4600,20050611,LB,1,0
8046723,4600,20120172,CB,0,0
8046839,3800,20070170,CB,0,0
8046849,4500,20070097,DT,1,0
8046925,325,20120035,LB,1,0
8046996,4500,20070147,CB,1,0
8047118,610,20030029,LB,1,0
8047121,4500,20070011,LB,1,0
8047239,4500,20110007,LB,0,0
8047291,4500,20060772,LB,0,1
8047313,4500,20110080,CB,0,0
8047317,4500,20110007,LB,0,0
8047360,1540,20120138,LB,1,0
8047565,4500,20110007,LB,0,0
8047602,4500,20070126,S,0,0
8047672,2700,20050454,DE,0,0
8047745,4500,20070011,LB,0,0
8047806,4500,20100173,RB,0,0
8047902,3000,20070220,LB,0,0
8047936,4500,20120425,DT,0,0
8048144,4500,20090606,S,1,0
8048295,4600,20110154,CB,0,0
8048461,2510,20090066,CB,0,0
8048513,2510,20030537,S,0,0
8048544,2510,20030228,LB,0,0
8048550,4500,20100540,CB,1,0
8048612,4500,20060772,LB,0,0
8048781,2510,20110014,DE,1,0
8048816,2510,20110014,DE,1,0
8048870,325,20120748,WR,1,0
8048942,325,20120236,DE,1,0
8049120,2510,20120039,CB,1,0
8049220,2510,20100461,LB,1,0
8049240,2510,20060035,LB,1,0
8049325,2510,20060215,CB,0,0
8049367,2510,20030537,S,0,0
8049420,3000,20070220,LB,0,0
8049555,3200,20080010,LB,0,0
8049606,2510,20030537,S,0,0
8049653,3430,20110030,DL,1,0
8049658,3430,20070006,S,0,0
8049714,3430,20070006,S,1,0
8050097,5110,20100103,LB,1,0
8050111,5110,20090013,LB,0,0
8050252,5110,19980417,LB,1,0
8050373,4900,20090217,CB,1,0
8050529,4900,20090496,DE,0,0
8050651,2310,20060020,LB,0,0
8050664,2310,20110442,RB,1,0
8050730,4900,20090496,DE,0,0
8050767,4900,20070068,LB,0,0
8050980,3300,20110024,DE,0,0
8051384,4900,20120589,CB,1,0
8051407,2510,20030537,S,0,0
8051581,2100,20090062,DT,1,0
8051709,4900,20120007,S,0,0
8051981,3800,20120726,LB,1,0
8051996,2100,20120426,FB,1,0
8052010,2100,20120672,DT,1,0
8052039,810,20030035,CB,1,0
8052081,810,20030035,CB,1,0
8052103,810,20030035,CB,0,0
8052110,810,20000009,MLB,1,0
8052119,2100,20110077,DT,1,0
8052175,810,20030035,CB,1,0
8052334,1540,20070041,CB,1,0
8052365,2100,20100104,CB,1,0
8052467,2120,20110011,DE,1,0
8052520,2120,20040135,DE,1,0
8052522,2100,20110077,DT,0,0
8052603,2100,20070019,S,0,0
8052626,2100,20070019,S,1,1
8052657,2100,20100016,DE,0,0
8052853,2100,20110039,LB,0,0
8052953,3200,20120021,DE,1,0
8053070,2100,20100104,CB,1,0
8053131,3300,20110739,S,1,0
8053207,2100,20120672,DT,1,0
8053332,2100,20090062,DT,0,0
8053415,3900,20040111,SS,0,0
8053495,3900,20020128,ILB,0,0
8053772,325,20020539,NT,1,0
8053808,5110,20080242,LB,1,0
8053860,325,20120035,LB,0,0
8054121,920,20100054,DE,1,0
8054166,5110,20070055,CB,1,0
8054670,3000,20090231,S,0,0
8054732,3410,20100251,S,0,0
8054802,3410,20050763,LB,1,0
8054907,5110,20070055,CB,0,0
8054908,3700,20070711,OLB,0,0
8054920,3700,20120012,DT,0,0
8054926,5110,20060124,DL,1,0
8054944,5110,20110016,LB,0,0
8055063,4600,20030589,DE,0,1
