playerId,nameFull,position,collegeId,college,heightInches,weight,ageAtDraft
20180034,Will Hernandez,OG,79968,Texas-El Paso,75.0,330.0,22
20180107,Chris Herndon,TE,33124,Miami (FL),76.0,252.0,22
20180069,B.J. Hill,DT,27607,NC State,75.0,311.0,22
20180604,Holton Hill,DB,78712,Texas,75.0,200.0,21
20180104,Nyheim Hines,RB,27607,NC State,69.0,197.0,21
20180510,Jeff Holland,LB,36849,Auburn,74.0,249.0,22
20180102,Jalyn Holmes,DE,43210,Ohio State,77.0,270.0,22
20180077,Sam Hubbard,DE,43210,Ohio State,77.0,265.0,22
20180030,Mike Hughes,DB,32816,Central Florida,71.0,191.0,21
20180025,Hayden Hurst,TE,29208,South Carolina,77.0,250.0,24
20180140,Maurice Hurst,DL,48109,Michigan,74.0,290.0,22
20180650,Godwin Igwebuike,S,60208,Northwestern,71.0,213.0,23
20180115,Joel Iyiegbuniwe,LB,42101,Western Kentucky,73.0,230.0,22
20180250,Ryan Izzo,TE,32306,Florida State,77.0,250.0,22
20180554,Darius Jackson,OLB,36265,Jacksonville State (AL),74.0,242.0,23
20180055,Donte Jackson,DB,70803,Louisiana State,71.0,175.0,22
20180805,J.C. Jackson,DB,20740,Maryland,73.0,198.0,22
20180045,Josh Jackson,DB,52242,Iowa,73.0,192.0,22
20180251,Justin Jackson,RB,60208,Northwestern,71.0,190.0,22
20180032,Lamar Jackson,QB,40292,Louisville,75.0,211.0,21
20180230,Leon Jacobs,LB,53706,Wisconsin,74.0,245.0,22
20180164,Natrell Jamerson,S,53706,Wisconsin,72.0,198.0,22
20180017,Derwin James,S,32306,Florida State,75.0,232.0,21
20180240,Richie James,WR,37130,Middle Tennessee State,69.0,176.0,22
20180078,Malik Jefferson,LB,78712,Texas,75.0,240.0,21
20180106,Josey Jewell,LB,52242,Iowa,74.0,236.0,23
20180912,Danny Johnson,DB,70813,Southern (LA),69.0,181.0,22
20180043,Kerryon Johnson,RB,36849,Auburn,72.0,212.0,20
20180121,Taron Johnson,DB,84408,Weber State (UT),72.0,175.0,21
20180520,Chris Jones,DB,68588,Nebraska,72.0,200.0,22
20180084,Justin Jones,DT,27607,NC State,74.0,309.0,21
20180038,Ronald Jones,RB,90089,USC,72.0,200.0,20
20180183,Sam Jones,C,85287,Arizona State,77.0,290.0,22
20180470,Michael Joseph,DB,52001,Dubuque (IA),73.0,187.0,23
20180214,Peter Kalambayi,LB,94305,Stanford,75.0,236.0,22
20180663,Joshua Kalu,DB,68588,Nebraska,72.0,203.0,22
20180176,John Kelly,RB,37998,Tennessee,69.0,205.0,21
20180499,Kam Kelly,DB,92115,San Diego State,74.0,204.0,21
20180087,Arden Key,DE,70803,Louisiana State,78.0,265.0,22
20180047,Christian Kirk,WR,77843,Texas A&M,71.0,200.0,21
20180147,Micah Kiser,LB,22904,Virginia,74.0,240.0,23
20180615,Chris Lacy,WR,74078,Oklahoma State,75.0,205.0,22
20180041,Harold Landry,LB,2459,Boston,75.0,250.0,21
20180162,Jordan Lasley,WR,90095,UCLA,73.0,210.0,21
20180108,Kyle Lauletta,QB,23173,Richmond,75.0,191.0,22
20180556,Allen Lazard,WR,50011,Iowa State,76.0,227.0,22
20180203,Tanner Lee,QB,68588,Nebraska,76.0,220.0,23
20180036,Darius Leonard,LB,29117,South Carolina State,75.0,235.0,22
20180064,Tyquan Lewis,DE,43210,Ohio State,75.0,266.0,23
20180563,Chase Litton,QB,25755,Marshall,77.0,230.0,22
20180232,James Looney,DE,94720,California,75.0,280.0,22
20180125,Avonte Maddox,DB,15260,Pittsburgh,69.0,180.0,22
20180138,Cole Madison,OG,99164,Washington State,77.0,314.0,23
20180538,K.J. Malone,OT,70803,Louisiana State,76.0,321.0,22
20180606,Hercules Mata'afa,LB,99164,Washington State,74.0,252.0,22
20180001,Baker Mayfield,QB,73019,Oklahoma,73.0,216.0,23
20180187,Ray-Ray McCloud,WR,29631,Clemson,70.0,180.0,21
20180596,Mike McCray,LB,48109,Michigan,76.0,242.0,23
20180557,KC McDermott,OT,33124,Miami (FL),77.0,311.0,22
20180639,Tarvarus McFadden,DB,32306,Florida State,74.0,205.0,21
20180139,RJ McIntosh,DL,33124,Miami (FL),76.0,291.0,21
20180198,Kahlil McKenzie,OG,37998,Tennessee,75.0,320.0,21
20180031,Sony Michel,RB,30602,Georgia,71.0,212.0,23
20180051,Anthony Miller,WR,38152,Memphis,71.0,190.0,23
20180587,Steven Mitchell,WR,90089,USC,70.0,189.0,24
20180024,D.J. Moore,WR,20740,Maryland,71.0,215.0,21
20180133,J’Mon Moore,WR,65211,Missouri,75.0,205.0,22
20180189,Kam Moore,DB,2459,Boston,70.0,203.0,21
20180546,Skai Moore,LB,29208,South Carolina,74.0,218.0,23
20180471,Ryan Nall,FB,97331,Oregon State,74.0,232.0,22
20180154,Siran Neal,S,36265,Jacksonville State (AL),73.0,205.0,23
20180110,Nick Nelson,DB,53706,Wisconsin,71.0,208.0,21
20180006,Quenton Nelson,OG,46556,Notre Dame,77.0,330.0,22
20180145,Bilal Nichols,DT,19716,Delaware,76.0,290.0,21
20180179,Parry Nickerson,DB,70118,Tulane,71.0,179.0,23
20180075,Derrick Nnadi,DT,32306,Florida State,73.0,317.0,21
20180242,Kendrick Norton,DT,33124,Miami (FL),75.0,318.0,20
20180048,Uchenna Nwosu,LB,90089,USC,74.0,240.0,21
20180100,Dorian O'Daniel,LB,29631,Clemson,73.0,220.0,23
20180160,Obo Okoronkwo,LB,73019,Oklahoma,73.0,240.0,23
20180058,Isaiah Oliver,DB,80309,Colorado,73.0,195.0,21
20180027,Rashaad Penny,RB,92115,San Diego State,71.0,220.0,22
20180044,Dante Pettis,WR,98195,Washington,73.0,195.0,22
20180704,Cam Phillips,WR,24061,Virginia Tech,72.0,201.0,22
20180170,Darius Phillips,DB,49008,Western Michigan,70.0,179.0,21
20180867,Skyler Phillips,OG,83209,Idaho State,75.0,318.0,22
20180630,Eddy Pineiro,K,32611,Florida,72.0,185.0,22
20180021,Billy Price,C,43210,Ohio State,76.0,312.0,22
20180564,Byron Pringle,WR,66506,Kansas State,73.0,203.0,24
20180872,Jake Pugh,LB,32306,Florida State,76.0,246.0,22
